glycan_id,glycan,species,immunogenicity,inferred_origin,link,genus,family,order,class,phylum,kingdom,domain
4209,Gal(b1-6)Gal(a1-6)Gal(a1-6)Glc,,,Angiosperms,,,,,,,,
4210,NeuNAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[NeuNGc(a2-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[NeuNGc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,,,,,,,,
4211,Glc(a1-2)GlcOPOPGro(a1-3)GlcOPOPGro,['Enterococcus_faecium'],,,,['Enterococcus'],['Enterococcaceae'],['Lactobacillales'],['Bacilli'],['Firmicutes'],['Bacteria'],['Bacteria']
4212,GlcNAc(b1-3)Galf(b1-3)GlcNAcOPGro(a1-4)GlcNAc,['Escherichia_coli'],,,,['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4213,Kdn(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Kdn(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,,,,,,,,
4214,LLManNonUloOFoN-onic(a2-3)Xyl(b1-3)D-FucNAc,,,Dicotyledons,,,,,,,,
4215,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc,,,Chordata,,,,,,,,
4216,Gal(a1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Man(a1-3)[Man(a1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,,,,,,,,
4217,Man(a1-3)[Gal(b1-4)[Fuc(a1-6)]GlcNAc(b1-2)Man(a1-6)][Xylf(b1-2)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc,,,Asparagaceae,,,,,,,,
4218,Fuc(a1-3)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Fuc(a1-3)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)][Fuc(a1-3)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)[Fuc(a1-3)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-2)[Fuc(a1-3)GlcNAc(b1-3)Gal(a1-3)Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Columbiformes,N,,,,,,,
4219,Glc(a1-2)[b-Tri-ol(1-6)]Glc(a1-3)b-Tri-ol,,,Dicotyledons,,,,,,,,
4220,GlcNAc(a1-4)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc,,,Chordata,,,,,,,,
4221,NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-8)NeuNAc(a2-3)Glc,,,Bacteria,,,,,,,,
4222,Glc(a1-2)[Glc(b1-3)]D-Fuc,,,Angiosperms,,,,,,,,
4223,Gal(b1-3)GalNAc(b1-4)[NeuNAc(a2-3)]Gal,"['Campylobacter_jejuni', 'Vibrio_cholerae']",,,,"['Campylobacter', 'Vibrio']","['Campylobacteraceae', 'Vibrionaceae']","['Campylobacterales', 'Vibrionales']","['Epsilonproteobacteria', 'Gammaproteobacteria']",['Proteobacteria'],['Bacteria'],['Bacteria']
4224,Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)][Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,,,,,,,,
4225,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)]Man(a1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,,,Chordata,,,,,,,,
4226,[Galf(a1-2)][Galf(a1-4)]Man(a1-6)Man,"['Lichina_confinis', 'Lichina_pygmaea']",,,,['Lichina'],['Lichinaceae'],['Lichinales'],['Lichinomycetes'],['Ascomycota'],['Fungi'],['Eukarya']
4227,Gal(a1-6)Gal(a1-6)GalGro,['Dictyonema_glabratum'],,,,['Dictyonema'],['Hygrophoraceae'],['Agaricales'],['Agaricomycetes'],['Basidiomycota'],['Fungi'],['Eukarya']
4228,NeuNGc(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-4)]Man(a1-3)[Kdn(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,,,Chordata,,,,,,,,
4229,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc,"['Bos_taurus', 'Homo_sapiens', 'Mus_musculus', 'Oryctolagus_cuniculus', 'Tetronarce_californica']",0.0,,N,"['Bos', 'Homo', 'Mus', 'Oryctolagus', 'Tetronarce']","['Bovidae', 'Hominidae', 'Leporidae', 'Muridae', 'Torpedinidae']","['Artiodactyla', 'Lagomorpha', 'Primates', 'Rodentia', 'Torpediniformes']","['Chondrichthyes', 'Mammalia']",['Chordata'],['Animalia'],['Eukarya']
4230,ManOPEtn(a1-2)ManOPEtn(a1-2)ManOPEtn(a1-4)GlcNAc,,,Bacteria,,,,,,,,
4231,Gal(b1-3)GalNAc(a1-3)GlcNAc(b1-3)b-Tri-ol,,,Bacteria,,,,,,,,
4232,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-4)GlcNAc(b1-6)]Man,['Oryctolagus_cuniculus'],,,O,['Oryctolagus'],['Leporidae'],['Lagomorpha'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya']
4233,GlcNAc(b1-3)Galf(b1-3)GlcNAcGro,['Escherichia_coli'],,,,['Escherichia'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria']
4234,Hexf(a1-2)Xyl(b1-4)Rha(b1-4)[Xyl(a1-3)]Xyl,,,Angiosperms,,,,,,,,
4235,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya']
4236,Fuc(a1-3)Fuc(a1-3)Fuc(a1-3)[Gal(b1-3)GalNAc(a1-4)]GalNAc(b1-4)Gal(b1-4)Fuc,['Bacteroides_ovatus'],,,,['Bacteroides'],['Bacteroidaceae'],['Bacteroidales'],['Bacteroidia'],['Bacteroidetes'],['Bacteria'],['Bacteria']
