seqs,preds,method
"['1dEry-ol', 'a1-6', 'Man', 'b1-4', 'GlcNAc', 'b1-4', 'Fuc', 'a1-6', 'GlcNAc', '1-1', '1-1']",3.835584e-06,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1dEry-ol', '1-1', '1-1', '1-1', '1-1']",7.625281e-05,Mutated-Random
"['GlcA', 'a1-2', 'Galf', '1-1', 'Galf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.5665877e-05,Mutated-Random
"['GalfOAc', '2,5-Anhydro-Man', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.7971098e-05,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-5', '1-1', '1-1']",1.4859177e-05,Mutated-Random
"['GalfOAc', 'b1-4', '2,5-Anhydro-Man', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.003588164,Mutated-Random
"['Glc', 'b1-6', '1-2', 'b1-3', 'Glc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",0.00032797753,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '2,5-Anhydro-Man-ol', '1-1', '1-1', '1-1', '1-1', '1-1']",6.601103e-06,Mutated-Random
"['GalfOAc', 'b1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1dEry-ol']",9.98405e-05,Mutated-Random
"['1-6', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",0.00058426714,Mutated-Random
"['Gal', 'a1-2', 'D-Fuc', 'a1-3', 'Galf', '1-2', 'D-Fuc', '1-1', '1-1', '1-1', '1-1']",7.1024215e-06,Mutated-Random
"['Glc', 'a1-3', 'Glc', 'a1-3', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",2.0095218e-05,Mutated-Random
"['GalfOAc', '1-4', 'GlcA', 'b1-3', 'GalfOAc', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",4.1954296e-05,Mutated-Random
"['ManOAc', 'a1-2', 'Man', 'a1-4', 'ManOAc', '1-1', '1-1', '1-1', '1-1', '2,5-Anhydro-Man', '1-1']",8.976541e-05,Mutated-Random
"['GlcA', 'b1-3', '1-2', 'a1-3', 'GalNAc', 'a1-2', 'Fuc', 'a1-2', 'GlcA', '1-1', '1-1']",1.0715286e-05,Mutated-Random
"['2,5-Anhydro-Man-ol', 'a1-2', 'Galf', 'a1-3', 'Man', 'a1-2', 'Man', 'a1-3', 'Galf', 'a1-2', 'Galf']",0.00029451473,Mutated-Random
"['D-FucNAc', 'b1-4', 'QuiNAc', 'b1-3', '6dTalOAc', 'a1-3', '1-3', '1-1', '1-1', '1-1', '1-1']",7.695593e-06,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', 'b1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1dEry-ol']",0.00023340159,Mutated-Random
"['D-Araf', 'b1-3', 'D-Araf', '1-5', 'D-Araf', '1-1', '1-1', '1-1', '1-1', '1-1', '1-1']",1.0553077e-05,Mutated-Random
